Business,L2 Category,L3 Category,Bet Category,Upgrade L1 Theme,Upgrade L2 Theme,Brand Name,SKU Name,Item Code,Exclusivity Type,"Validated for ""Upgrade"" Proposition",Include in Overall Tracking,Upgrade
New Comm,Cookware,Saucepans,Cookware,Healthier Cooking,Triply,Sumeet,"Sumeet Cook Smart TriPly Steel-Aluminium-Steel 3 Layers Sauce Pan (16.2cm, 1.15L, Silver)",552479,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Tawa,Cookware,Healthier Cooking,Triply,Stahl,"Stahl Artisan Hybrid Triply Stainless Steel Dosa Tawa (28cm, Silver)",491234,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Cookware Set,Cookware,Healthier Cooking,Triply,Bergner,"Bergner Tripro Triply Stainless Steel Cookware Set (3 Pieces, Tope 16cm/1.5L, Teapan 14cm/1L, Silver)",691663,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Kadhai,Cookware,Healthier Cooking,Triply,Bergner,"Bergner TriPro Tri-Ply Stainless Steel Deep Kadai with Lid (20cm, 2 L, Induction Bottom)",772929,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Tawa,Cookware,Healthier Cooking,Ceramic,EMBER,"Ember Ceramic Coated Tawa with Soft-Touch Handle (28cm, Non Toxic Non Stick, ISI Certified, PFAS PTFE Free, Coorg Green)",400790,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Kadhai,Cookware,Healthier Cooking,Triply,Sumeet,"Sumeet Cook Smart TriPly Stainless Steel Kadhai (26cm, 3.25L, Silver)",849806,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Pans,Cookware,Healthier Cooking,Triply,Sumeet,"Sumeet Cook Smart TriPly Steel-Aluminium-Steel 3 Layers Fry Pan with Lid (23.6cm, 1.4L, Silver)",851205,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Crockery and Serveware,Casseroles,Cookware,Healthier Cooking,,Bergner,Bergner Argent TriPly 24cm (5.3 L) Casserole with Lid - Induction Bottom,982921,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Cookware Set,Cookware,Healthier Cooking,Triply,Bergner,"Bergner Tripro Stainless Steel Chef's Select Triply Cookware Set (7 Pieces, Silver, Induction Bottom)",105576,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Pressure Cooker,Cookware,Healthier Cooking,Triply,Stahl,"Stahl Xpress Triply Stainless Steel Pressure Cooker (1.5 ltr, Silver)",981578,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Pans,Cookware,Healthier Cooking,Triply,Sumeet,"Sumeet Cook Smart TriPly Steel-Aluminium-Steel 3 Layers Fry Pan with Lid (21.6cm, 1L, Silver)",546829,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Pans,Cookware,Healthier Cooking,Ceramic,EMBER,"Ember Ceramic Coated Frypan with Stainless Steel Handle (24cm, Non Toxic Non Stick, ISI Certified, PFAS PTFE Free, Nilgiri Blue)",428805,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Pressure Cooker,Cookware,Healthier Cooking,Triply,Stahl,"Stahl Xpress Triply Stainless Steel Pressure Cooker (2.5 ltr, Silver)",716407,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Crockery and Serveware,Casseroles,Cookware,Healthier Cooking,,Bergner,Bergner Argent TriPly 20cm (3.1 L) Casserole with Lid - Induction Bottom,152542,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Kadhai,Cookware,Healthier Cooking,Ceramic,EMBER,"Ember Ceramic Coated Kadai with Stainless Steel Handle (2.6L, Non Toxic Non Stick, Metallic Lid, ISI Certified, Coorg Green)",470975,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Kadhai,Cookware,Healthier Cooking,Triply,Stahl,"Stahl Artisan Hybrid Triply Stainless Steel Kadhai with Lid (2.4L, Silver)",155594,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Pressure Cooker,Cookware,Healthier Cooking,Triply,Bergner,Bergner Argent Classic Triply 3.5L Outer Lid Pressure Pan - Induction Bottom,328036,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Saucepans,Cookware,Healthier Cooking,Triply,Bergner,Bergner Argent Triply 22cm (1.8 L) Sautepan with Lid - Induction Bottom,999399,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Tawa,Cookware,Healthier Cooking,Ceramic,EMBER,"Ember Ceramic Coated Tawa with Soft-Touch Handle (28cm, Non Toxic Non Stick, ISI Certified, PFAS PTFE Free, Terracotta)",952783,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Pressure Cooker,Cookware,Healthier Cooking,Triply,Stahl,"Stahl Xpress Triply Stainless Steel Pressure Cooker (1 ltr, Silver)",363220,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Kadhai,Cookware,Healthier Cooking,Triply,Bergner,Bergner Argent TriPly 28cm (4.3L ) Kadai with Lid - Induction Bottom,854198,Level 3: Complete SKU Exclusivity,Yes,Yes,True
